score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_students,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper,bty_avg
4.4,tenured,not minority,male,english,62,64.53901,282,6,6,5,5,5,6,5.5
4.6,tenured,not minority,male,english,62,54.79452,292,6,6,5,5,5,6,5.5
4.7,tenured,not minority,male,english,62,60.76923,130,6,6,5,5,5,6,5.5
4.5,tenured,not minority,male,english,62,61.75439,285,6,6,5,5,5,6,5.5
4.8,tenured,not minority,male,english,62,56.98529,272,6,6,5,5,5,6,5.5
4.9,tenured,not minority,male,english,62,58.04196,286,6,6,5,5,5,6,5.5
4.5,tenured,not minority,male,english,62,61.58941,302,6,6,5,5,5,6,5.5
4.4,tenure track,not minority,female,english,33,80.48781,41,4,4,5,4,4,4,4.167
4.3,tenure track,not minority,female,english,33,85.29412,34,4,4,5,4,4,4,4.167
4.1,tenure track,not minority,female,english,33,90.2439,41,4,4,5,4,4,4,4.167
4.2,tenure track,not minority,female,english,33,70.7317,41,4,4,5,4,4,4,4.167
3.5,tenure track,not minority,female,english,33,82.35294,34,4,4,5,4,4,4,4.167
3.4,tenured,not minority,female,english,51,60.97561,41,4,6,6,2,3,3,4
4.5,tenured,not minority,female,english,51,95.45454,22,4,6,6,2,3,3,4
4.4,tenured,not minority,female,english,51,61.90476,21,4,6,6,2,3,3,4
4.4,tenured,not minority,female,english,51,94.11765,17,4,6,6,2,3,3,4
2.5,tenured,not minority,female,english,51,80,30,4,6,6,2,3,3,4
4.3,tenured,not minority,female,english,51,100,23,4,6,6,2,3,3,4
4.5,tenured,not minority,female,english,51,100,20,4,6,6,2,3,3,4
4.8,tenure track,not minority,female,english,33,80,60,3,7,5,5,3,5,4.667
4.8,tenure track,not minority,female,english,33,87.87878,33,3,7,5,5,3,5,4.667
4.4,tenure track,not minority,female,english,33,25,44,3,7,5,5,3,5,4.667
4.7,tenure track,not minority,female,english,33,59.18367,49,3,7,5,5,3,5,4.667
4.4,tenure track,not minority,female,english,33,86.20689,29,3,7,5,5,3,5,4.667
4.7,tenure track,not minority,female,english,33,87.5,48,3,7,5,5,3,5,4.667
4.5,tenure track,not minority,female,english,33,85,40,3,7,5,5,3,5,4.667
4,teaching,not minority,male,english,47,84.21053,19,5,7,6,3,6,6,5.5
4.3,teaching,not minority,male,english,47,75,16,5,7,6,3,6,6,5.5
4.4,teaching,not minority,male,english,47,93.33334,15,5,7,6,3,6,6,5.5
4.5,teaching,not minority,male,english,47,95.65218,23,5,7,6,3,6,6,5.5
5,teaching,not minority,male,english,47,90.90909,11,5,7,6,3,6,6,5.5
4.9,teaching,not minority,male,english,47,58.62069,29,5,7,6,3,6,6,5.5
4.6,teaching,not minority,male,english,47,76.19048,21,5,7,6,3,6,6,5.5
5,teaching,not minority,male,english,47,83.33334,18,5,7,6,3,6,6,5.5
4.7,teaching,not minority,male,english,47,84.21053,19,5,7,6,3,6,6,5.5
5,teaching,not minority,male,english,47,80,20,5,7,6,3,6,6,5.5
3.6,tenure track,minority,male,non-english,35,72,25,5,7,4,2,4,7,4.833
3.7,tenure track,minority,male,non-english,35,90.90909,33,5,7,4,2,4,7,4.833
4.3,tenure track,minority,male,non-english,35,95.83334,24,5,7,4,2,4,7,4.833
4.1,teaching,not minority,male,english,37,88.23529,34,4,5,5,3,5,4,4.333
4.2,teaching,not minority,male,english,37,61.90476,21,4,5,5,3,5,4,4.333
4.7,teaching,not minority,male,english,37,80,30,4,5,5,3,5,4,4.333
4.7,teaching,not minority,male,english,37,96,25,4,5,5,3,5,4,4.333
3.5,teaching,not minority,male,english,37,71.42857,35,4,5,5,3,5,4,4.333
4.1,tenured,not minority,male,english,42,70,40,4,7,5,4,4,5,4.833
4.2,tenured,not minority,male,english,42,60,30,4,7,5,4,4,5,4.833
4,tenured,not minority,male,english,42,66.66666,42,4,7,5,4,4,5,4.833
4,tenured,not minority,male,english,42,43.85965,57,4,7,5,4,4,5,4.833
3.9,tenured,not minority,male,english,42,70.17544,57,4,7,5,4,4,5,4.833
4.4,tenured,not minority,male,english,42,78.43137,51,4,7,5,4,4,5,4.833
3.8,tenured,not minority,male,english,42,60,30,4,7,5,4,4,5,4.833
3.5,tenured,not minority,male,non-english,49,83.33334,36,3,3,5,1,7,5,4
4.2,tenured,not minority,male,non-english,49,83.78378,37,3,3,5,1,7,5,4
3.5,tenured,not minority,male,non-english,49,51.72414,29,3,3,5,1,7,5,4
3.6,tenured,not minority,male,non-english,49,85.18519,27,3,3,5,1,7,5,4
2.9,tenure track,not minority,female,english,37,82.14286,28,6,7,7,5,4,4,5.5
3.3,tenure track,not minority,female,english,37,65.38461,52,6,7,7,5,4,4,5.5
3.3,tenure track,not minority,female,english,37,80.76923,26,6,7,7,5,4,4,5.5
3.2,tenure track,not minority,female,english,37,96.66666,30,6,7,7,5,4,4,5.5
4.6,tenured,not minority,male,english,45,69.69697,33,2,4,3,5,4,7,4.167
4.2,tenured,not minority,male,english,45,25.42373,177,2,4,3,5,4,7,4.167
4.3,tenured,not minority,male,english,45,45.22613,199,2,4,3,5,4,7,4.167
4.4,tenured,not minority,male,english,45,84.375,32,2,4,3,5,4,7,4.167
4.1,tenured,not minority,male,english,45,94.5946,37,2,4,3,5,4,7,4.167
4.6,tenured,not minority,male,english,45,74.53416,161,2,4,3,5,4,7,4.167
4.4,teaching,not minority,female,english,56,65.85366,41,3,4,1,2,2,3,2.5
4.8,teaching,not minority,female,english,56,88.63636,44,3,4,1,2,2,3,2.5
4.3,teaching,not minority,female,english,56,66.03773,53,3,4,1,2,2,3,2.5
3.6,teaching,not minority,female,english,56,69.38776,49,3,4,1,2,2,3,2.5
4.3,teaching,not minority,female,english,56,84.375,32,3,4,1,2,2,3,2.5
4,teaching,not minority,male,english,48,74.07407,135,3,5,6,4,4,4,4.333
4.2,teaching,not minority,male,english,48,60.60606,33,3,5,6,4,4,4,4.333
4.1,teaching,not minority,male,english,48,73.68421,19,3,5,6,4,4,4,4.333
4.1,teaching,not minority,male,english,48,58.55856,111,3,5,6,4,4,4,4.333
4.4,teaching,not minority,male,english,48,63.75839,149,3,5,6,4,4,4,4.333
4.3,teaching,not minority,male,english,48,66.66666,27,3,5,6,4,4,4,4.333
4.4,teaching,not minority,male,english,48,62.5,136,3,5,6,4,4,4,4.333
4.4,teaching,not minority,male,english,48,80.71429,140,3,5,6,4,4,4,4.333
4.9,tenured,not minority,female,english,46,80.64516,31,4,4,5,2,6,5,4.333
5,tenured,not minority,female,english,46,93.33334,15,4,4,5,2,6,5,4.333
4.4,tenured,not minority,female,english,46,79.31035,29,4,4,5,2,6,5,4.333
4.8,tenured,not minority,female,english,46,92,25,4,4,5,2,6,5,4.333
4.9,tenured,not minority,female,english,46,50,18,4,4,5,2,6,5,4.333
4.3,tenured,not minority,female,english,46,66.66666,45,4,4,5,2,6,5,4.333
5,tenured,not minority,female,english,46,100,15,4,4,5,2,6,5,4.333
4.7,tenured,not minority,female,english,46,81.57895,38,4,4,5,2,6,5,4.333
4.5,tenured,not minority,female,english,46,80,15,4,4,5,2,6,5,4.333
3.5,teaching,not minority,female,english,57,60.71429,28,5,4,4,5,2,6,4.333
3.9,teaching,not minority,female,english,57,43.47826,23,5,4,4,5,2,6,4.333
4,teaching,not minority,female,english,57,78.94736,19,5,4,4,5,2,6,4.333
4,teaching,not minority,female,english,57,30.43478,23,5,4,4,5,2,6,4.333
3.7,teaching,not minority,female,english,57,31.81818,22,5,4,4,5,2,6,4.333
3.4,teaching,not minority,female,english,57,70,20,5,4,4,5,2,6,4.333
3.3,teaching,not minority,female,english,57,42.10526,19,5,4,4,5,2,6,4.333
3.8,teaching,not minority,female,english,57,73.91304,23,5,4,4,5,2,6,4.333
3.9,teaching,not minority,female,english,57,45.45454,22,5,4,4,5,2,6,4.333
3.4,teaching,not minority,female,english,57,80,15,5,4,4,5,2,6,4.333
3.7,teaching,not minority,female,english,52,86.36364,22,6,6,4,2,4,7,4.833
4.1,teaching,not minority,female,english,52,87.09677,31,6,6,4,2,4,7,4.833
3.7,teaching,not minority,female,english,52,95.2381,21,6,6,4,2,4,7,4.833
3.5,teaching,not minority,female,english,52,86.11111,36,6,6,4,2,4,7,4.833
3.5,teaching,not minority,female,english,52,89.47369,19,6,6,4,2,4,7,4.833
4.4,teaching,not minority,female,english,52,62.16216,37,6,6,4,2,4,7,4.833
3.4,tenure track,minority,female,non-english,29,73.07692,26,3,3,4,2,3,2,2.833
4.3,tenured,not minority,male,english,62,76.92308,39,4,3,4,1,2,4,3
3.7,tenured,not minority,male,english,62,51.08696,184,4,3,4,1,2,4,3
4.7,tenured,not minority,male,english,62,92,50,4,3,4,1,2,4,3
3.9,tenured,not minority,male,english,62,50.95541,157,4,3,4,1,2,4,3
3.6,tenured,not minority,male,english,62,37.19512,164,4,3,4,1,2,4,3
4.5,tenured,not minority,male,english,64,62.5,24,5,4,5,3,3,5,4.167
4.5,tenured,not minority,male,english,64,75,68,5,4,5,3,3,5,4.167
4.8,tenured,not minority,male,english,64,46.80851,47,5,4,5,3,3,5,4.167
4.8,tenured,not minority,male,english,64,71.42857,14,5,4,5,3,3,5,4.167
4.7,tenured,not minority,male,english,64,73.33334,15,5,4,5,3,3,5,4.167
4.5,tenured,not minority,male,english,64,62.5,24,5,4,5,3,3,5,4.167
4.3,tenured,not minority,male,english,64,53.84615,39,5,4,5,3,3,5,4.167
4.8,tenure track,not minority,female,english,34,76.92308,26,8,9,8,6,8,8,7.833
4.1,tenure track,not minority,female,english,34,82.5,40,8,9,8,6,8,8,7.833
4.4,tenured,not minority,male,english,58,52.83019,159,4,4,5,2,4,4,3.833
4.3,tenured,not minority,male,english,58,47.01987,151,4,4,5,2,4,4,3.833
3.6,tenured,not minority,male,english,58,76.59574,47,4,4,5,2,4,4,3.833
4.5,tenured,not minority,male,english,58,59.83607,122,4,4,5,2,4,4,3.833
4.3,tenured,not minority,male,english,58,68.88889,45,4,4,5,2,4,4,3.833
4.4,tenured,minority,male,non-english,52,81.25,16,4,5,7,5,4,4,4.833
4.7,tenured,minority,male,non-english,52,100,23,4,5,7,5,4,4,4.833
4.8,tenured,minority,male,non-english,52,75,16,4,5,7,5,4,4,4.833
3.5,tenured,minority,male,non-english,52,83.33334,18,4,5,7,5,4,4,4.833
3.8,tenured,minority,male,non-english,52,68.75,16,4,5,7,5,4,4,4.833
3.6,tenured,minority,male,non-english,52,80,15,4,5,7,5,4,4,4.833
4.2,tenured,minority,male,non-english,52,64.28571,28,4,5,7,5,4,4,4.833
3.6,tenured,not minority,male,english,73,70.58823,17,1,3,6,2,1,5,3
4.4,tenured,not minority,male,english,73,76.92308,13,1,3,6,2,1,5,3
3.7,tenured,not minority,male,english,73,76.19048,21,1,3,6,2,1,5,3
4.3,tenured,not minority,male,english,73,76.47059,17,1,3,6,2,1,5,3
4.6,tenured,not minority,male,english,70,35.07463,134,5,3,2,3,3,2,3
4.6,tenured,not minority,male,english,70,10.41667,48,5,3,2,3,3,2,3
4.1,tenured,not minority,male,english,70,53.125,64,5,3,2,3,3,2,3
3.6,tenured,not minority,male,english,70,34.78261,69,5,3,2,3,3,2,3
2.3,tenure track,not minority,female,english,41,83.33334,12,3,6,7,4,4,7,5.167
4.3,teaching,not minority,male,english,63,65.11628,43,5,4,6,4,2,5,4.333
4.4,teaching,not minority,male,english,63,78.57143,14,5,4,6,4,2,5,4.333
3.6,teaching,not minority,male,english,63,66.66666,15,5,4,6,4,2,5,4.333
4.4,teaching,not minority,male,english,63,77.77778,18,5,4,6,4,2,5,4.333
3.9,teaching,not minority,male,english,63,75,16,5,4,6,4,2,5,4.333
3.8,teaching,not minority,male,english,63,80,10,5,4,6,4,2,5,4.333
3.4,teaching,not minority,male,english,63,48.93617,47,5,4,6,4,2,5,4.333
4.9,tenured,not minority,male,english,47,66.66666,15,1,4,3,2,3,3,2.667
4.1,tenured,not minority,male,english,47,71.42857,14,1,4,3,2,3,3,2.667
3.2,tenured,not minority,male,english,47,83.33334,12,1,4,3,2,3,3,2.667
4.2,tenured,not minority,male,english,39,34.95935,246,5,6,6,6,5,5,5.5
3.9,tenured,not minority,male,english,39,48.73418,316,5,6,6,6,5,5,5.5
4.9,tenured,not minority,male,english,39,80,15,5,6,6,6,5,5,5.5
4.7,tenured,not minority,male,english,39,93.33334,15,5,6,6,6,5,5,5.5
4.4,tenured,not minority,male,english,39,93.10345,29,5,6,6,6,5,5,5.5
4.2,tenure track,minority,female,english,47,100,21,2,6,6,3,5,4,4.333
4,tenure track,minority,female,english,47,100,8,2,6,6,3,5,4,4.333
4.4,tenure track,minority,female,english,47,100,16,2,6,6,3,5,4,4.333
3.9,tenure track,minority,female,english,47,92.30769,26,2,6,6,3,5,4,4.333
4.4,tenure track,minority,female,english,47,70,10,2,6,6,3,5,4,4.333
3,tenure track,minority,female,english,47,96.15385,26,2,6,6,3,5,4,4.333
3.5,tenure track,minority,female,english,47,92.30769,26,2,6,6,3,5,4,4.333
2.8,tenure track,minority,female,english,47,92.30769,26,2,6,6,3,5,4,4.333
4.6,tenure track,minority,female,english,47,95.2381,21,2,6,6,3,5,4,4.333
4.3,tenure track,minority,female,english,47,100,12,2,6,6,3,5,4,4.333
3.4,tenure track,minority,female,english,47,92.59259,27,2,6,6,3,5,4,4.333
3,tenure track,minority,female,english,47,96.2963,27,2,6,6,3,5,4,4.333
4.2,tenure track,minority,female,english,47,96,25,2,6,6,3,5,4,4.333
4.3,tenured,not minority,male,english,54,100,15,1,2,4,1,2,4,2.333
4.1,tenured,not minority,male,english,54,66.66666,15,1,2,4,1,2,4,2.333
4.6,tenured,not minority,male,english,54,94.11765,17,1,2,4,1,2,4,2.333
3.9,tenured,minority,female,english,44,54.54546,55,6,8,8,5,7,5,6.5
3.5,tenured,minority,female,english,44,72.91666,48,6,8,8,5,7,5,6.5
4,tenured,minority,female,english,44,100,21,6,8,8,5,7,5,6.5
4,tenured,minority,female,english,44,89.74359,39,6,8,8,5,7,5,6.5
3.9,tenured,minority,male,english,47,74.07407,27,2,2,2,2,2,4,2.333
3.3,tenured,minority,male,english,47,64.28571,14,2,2,2,2,2,4,2.333
4,tenured,minority,male,english,47,80.76923,26,2,2,2,2,2,4,2.333
3.8,tenured,minority,male,english,47,81.25,16,2,2,2,2,2,4,2.333
4.2,tenured,minority,male,english,47,81.25,16,2,2,2,2,2,4,2.333
4,tenured,minority,male,english,47,92.30769,13,2,2,2,2,2,4,2.333
3.8,tenured,minority,male,english,47,100,14,2,2,2,2,2,4,2.333
3.3,tenured,minority,male,english,47,88.23529,17,2,2,2,2,2,4,2.333
4.1,tenured,not minority,male,english,62,92.30769,13,3,2,5,3,2,3,3
4.7,tenured,not minority,male,english,62,86.66666,15,3,2,5,3,2,3,3
4.4,tenured,not minority,male,english,62,70,10,3,2,5,3,2,3,3
4.8,tenured,not minority,male,english,60,73.52941,34,4,4,6,2,2,4,3.667
4.8,tenured,not minority,male,english,60,75,16,4,4,6,2,2,4,3.667
4.6,tenured,not minority,male,english,60,78.57143,14,4,4,6,2,2,4,3.667
4.6,tenured,not minority,male,english,60,66.66666,12,4,4,6,2,2,4,3.667
4.8,tenured,not minority,male,english,60,61.53846,39,4,4,6,2,2,4,3.667
4.4,tenured,not minority,male,english,60,42.85714,35,4,4,6,2,2,4,3.667
4.7,tenured,not minority,male,english,60,68.88889,45,4,4,6,2,2,4,3.667
4.7,tenured,not minority,male,english,60,80,45,4,4,6,2,2,4,3.667
3.3,tenure track,not minority,male,english,37,88.23529,17,4,8,7,5,5,8,6.167
4.4,tenure track,not minority,male,english,42,92.85714,14,3,5,3,3,6,4,4
4.3,tenure track,not minority,male,english,42,100,14,3,5,3,3,6,4,4
4.9,tenure track,not minority,male,english,42,92.85714,14,3,5,3,3,6,4,4
4.4,tenure track,not minority,male,english,42,100,12,3,5,3,3,6,4,4
4.7,tenure track,not minority,male,english,42,86.66666,15,3,5,3,3,6,4,4
4.3,tenured,not minority,male,english,35,82.35294,51,4,7,2,6,4,6,4.833
4.8,tenured,not minority,male,english,35,91.30434,23,4,7,2,6,4,6,4.833
4.5,tenured,not minority,male,english,35,85.96491,57,4,7,2,6,4,6,4.833
4.7,tenured,not minority,male,english,35,88,50,4,7,2,6,4,6,4.833
3.3,teaching,not minority,female,english,39,91.66666,24,8,8,8,7,9,9,8.167
4.7,teaching,not minority,female,english,39,78.26087,23,8,8,8,7,9,9,8.167
4.6,teaching,not minority,female,english,39,86.95652,23,8,8,8,7,9,9,8.167
3.6,teaching,not minority,female,english,39,96.42857,28,8,8,8,7,9,9,8.167
4,tenured,not minority,male,english,49,62.22222,45,6,6,7,6,9,5,6.5
4.1,tenured,not minority,male,english,49,64.28571,42,6,6,7,6,9,5,6.5
4,tenured,not minority,male,english,49,85.96491,57,6,6,7,6,9,5,6.5
4.5,tenured,not minority,male,english,61,81.48148,27,5,5,4,4,5,6,4.833
4.6,tenured,not minority,male,english,61,81.57895,38,5,5,4,4,5,6,4.833
4.8,tenured,not minority,male,english,61,86.36364,22,5,5,4,4,5,6,4.833
4.6,tenured,not minority,male,english,61,62.7907,43,5,5,4,4,5,6,4.833
4.9,tenure track,not minority,male,english,33,96.77419,31,7,8,7,6,7,7,7
3.1,tenure track,not minority,male,english,33,92.30769,13,7,8,7,6,7,7,7
3.7,tenure track,not minority,male,english,33,86.66666,15,7,8,7,6,7,7,7
3.7,tenured,not minority,female,english,58,76.47059,34,3,6,7,2,4,6,4.667
3.9,tenured,not minority,female,english,56,63.15789,19,2,4,4,4,3,6,3.833
3.9,tenured,not minority,female,english,56,80,20,2,4,4,4,3,6,3.833
3.2,tenured,not minority,female,english,56,73.91304,23,2,4,4,4,3,6,3.833
4.4,teaching,not minority,female,english,50,81.48148,27,2,3,5,2,3,4,3.167
4.2,teaching,not minority,female,english,50,75,32,2,3,5,2,3,4,3.167
4.7,teaching,not minority,female,english,50,66.66666,21,2,3,5,2,3,4,3.167
3.9,teaching,not minority,female,english,50,95.83334,24,2,3,5,2,3,4,3.167
3.6,teaching,not minority,female,english,50,90.47619,21,2,3,5,2,3,4,3.167
3.4,teaching,not minority,female,english,50,64.28571,28,2,3,5,2,3,4,3.167
4.4,teaching,not minority,female,english,50,79.31035,29,2,3,5,2,3,4,3.167
4.4,tenured,not minority,male,english,52,85.07462,67,4,3,5,2,2,3,3.167
4.1,tenured,not minority,male,english,52,91.01124,89,4,3,5,2,2,3,3.167
3.6,tenured,not minority,male,english,52,90.2439,82,4,3,5,2,2,3,3.167
3.5,tenured,not minority,male,english,52,83.60656,122,4,3,5,2,2,3,3.167
4.1,tenured,not minority,male,english,52,71.75572,131,4,3,5,2,2,3,3.167
3.8,tenured,not minority,male,english,52,78.07018,114,4,3,5,2,2,3,3.167
4,tenured,not minority,male,english,52,89.26174,149,4,3,5,2,2,3,3.167
4.8,tenured,not minority,male,english,52,95.65218,23,4,3,5,2,2,3,3.167
4.2,tenured,not minority,male,english,52,79.59184,98,4,3,5,2,2,3,3.167
4.6,tenured,not minority,male,english,52,81.48148,27,4,3,5,2,2,3,3.167
4.3,tenured,not minority,male,english,52,90,30,4,3,5,2,2,3,3.167
4.8,tenured,not minority,male,english,52,90,30,4,3,5,2,2,3,3.167
3.8,tenured,not minority,male,english,52,86.95652,69,4,3,5,2,2,3,3.167
4.5,tenure track,not minority,female,english,33,66.66666,15,3,7,9,4,5,7,5.833
4.9,tenure track,not minority,female,english,33,100,10,3,7,9,4,5,7,5.833
4.9,tenure track,not minority,female,english,33,90.90909,11,3,7,9,4,5,7,5.833
4.8,tenure track,not minority,female,english,33,71.42857,14,3,7,9,4,5,7,5.833
4.7,tenure track,not minority,female,english,33,63.63636,11,3,7,9,4,5,7,5.833
4.6,tenure track,not minority,female,english,33,100,14,3,7,9,4,5,7,5.833
4.3,tenured,not minority,male,english,57,89.61039,77,5,6,6,5,7,5,5.667
4.4,tenured,not minority,male,english,57,87.80488,41,5,6,6,5,7,5,5.667
4.5,tenured,not minority,male,english,57,81.81818,88,5,6,6,5,7,5,5.667
4.2,tenured,not minority,male,english,57,80.76923,78,5,6,6,5,7,5,5.667
4.8,tenured,not minority,female,english,38,70.76923,65,6,8,9,4,5,7,6.5
4.6,tenured,not minority,female,english,38,69.42675,157,6,8,9,4,5,7,6.5
4.9,tenured,not minority,female,english,38,79.41177,68,6,8,9,4,5,7,6.5
4.8,tenured,not minority,female,english,38,76.1194,67,6,8,9,4,5,7,6.5
4.8,tenured,not minority,female,english,38,76.25,80,6,8,9,4,5,7,6.5
4.6,tenured,not minority,female,english,38,74.45255,137,6,8,9,4,5,7,6.5
4.7,tenured,not minority,female,english,38,84.05797,69,6,8,9,4,5,7,6.5
4.1,tenure track,not minority,female,english,34,59.34066,91,2,1,4,1,1,1,1.667
3.8,tenure track,not minority,female,english,34,57.5,80,2,1,4,1,1,1,1.667
4,tenure track,not minority,female,english,34,58.88889,90,2,1,4,1,1,1,1.667
4.1,tenure track,not minority,female,english,34,55.88235,34,2,1,4,1,1,1,1.667
4,tenure track,not minority,female,english,34,56.16438,73,2,1,4,1,1,1,1.667
4.1,tenure track,not minority,female,english,34,56.81818,44,2,1,4,1,1,1,1.667
3.5,tenure track,not minority,male,english,34,66.66666,36,6,7,7,6,8,6,6.667
4.1,tenure track,not minority,male,english,34,80,20,6,7,7,6,8,6,6.667
3.6,tenure track,not minority,male,english,34,57.14286,35,6,7,7,6,8,6,6.667
4,tenure track,not minority,male,english,32,34.27419,248,3,7,3,3,3,3,3.667
3.9,tenure track,not minority,male,english,32,41.07143,168,3,7,3,3,3,3,3.667
3.8,tenure track,not minority,male,english,32,39.67611,247,3,7,3,3,3,3,3.667
4.4,tenure track,not minority,male,english,32,90.90909,22,3,8,3,3,3,3,3.833
4.7,tenure track,not minority,male,english,32,69.90292,103,3,8,3,3,3,3,3.833
3.8,tenured,not minority,female,english,42,70.96774,62,5,5,8,6,8,5,6.167
4.1,tenured,not minority,female,english,42,62.19512,82,5,5,8,6,8,5,6.167
4.1,tenured,not minority,female,english,43,68.62745,51,2,3,5,3,3,4,3.333
4.7,tenured,not minority,female,english,43,51.42857,35,2,3,5,3,3,4,3.333
4.3,tenured,not minority,female,english,43,76.47059,34,2,3,5,3,3,4,3.333
4.4,tenured,not minority,female,english,43,75.67567,37,2,3,5,3,3,4,3.333
4.5,tenured,not minority,female,english,43,92.85714,14,2,3,5,3,3,4,3.333
3.1,tenured,not minority,female,english,43,65.41354,266,2,3,5,3,3,4,3.333
3.7,tenured,not minority,female,english,43,67.32284,254,2,3,5,3,3,4,3.333
4.5,tenured,not minority,female,english,43,76.92308,13,2,3,5,3,3,4,3.333
3,tenured,not minority,female,english,43,58.86525,282,2,3,5,3,3,4,3.333
4.6,tenured,not minority,female,english,43,100,17,2,3,5,3,3,4,3.333
3.7,tenure track,not minority,male,non-english,35,57.89474,19,4,3,3,4,3,5,3.667
3.6,tenure track,not minority,male,non-english,35,52.38095,42,4,3,3,4,3,5,3.667
3.2,tenured,not minority,female,english,62,81.48148,27,1,5,5,1,4,5,3.5
3.3,tenured,not minority,female,english,62,56.25,16,1,5,5,1,4,5,3.5
2.9,tenured,not minority,female,english,62,73.68421,19,1,5,5,1,4,5,3.5
4.2,tenured,not minority,male,english,42,52.32558,86,3,1,6,1,1,4,2.667
4.5,tenured,not minority,male,english,39,75.86207,29,5,8,6,4,5,6,5.667
3.8,tenured,not minority,female,english,52,72.72727,88,5,7,7,3,8,6,6
3.7,tenured,not minority,female,english,52,71.42857,98,5,7,7,3,8,6,6
3.7,tenured,not minority,female,english,52,70.45454,44,6,7,9,5,6,6,6.5
4,tenured,not minority,female,english,52,75.38461,65,6,7,9,5,6,6,6.5
3.7,tenured,not minority,female,english,52,50.79365,63,6,7,9,5,6,6,6.5
4.5,teaching,not minority,female,english,52,78.66666,75,2,3,4,2,1,2,2.333
3.8,teaching,not minority,female,english,52,81.39535,43,2,3,4,2,1,2,2.333
3.9,teaching,not minority,female,english,52,73.75,80,2,3,4,2,1,2,2.333
4.6,teaching,not minority,female,english,52,86.53846,52,2,3,4,2,1,2,2.333
4.5,teaching,not minority,female,english,52,70.83334,48,2,3,4,2,1,2,2.333
4.2,teaching,not minority,female,english,52,75.75758,66,2,3,4,2,1,2,2.333
4,teaching,not minority,female,english,52,67,100,2,3,4,2,1,2,2.333
3.8,tenured,not minority,male,english,64,81.81818,11,2,3,3,2,1,3,2.333
3.5,tenured,not minority,male,english,64,50,16,2,3,3,2,1,3,2.333
2.7,tenured,not minority,male,english,64,81.81818,22,2,3,3,2,1,3,2.333
4,tenured,not minority,male,english,64,45.45454,11,2,3,3,2,1,3,2.333
4.6,tenured,not minority,male,english,64,50,10,2,3,3,2,1,3,2.333
3.9,tenured,not minority,male,english,64,100,16,2,3,3,2,1,3,2.333
4.5,tenured,not minority,male,english,50,93.75,16,6,7,9,6,8,7,7.167
3.7,tenured,not minority,male,english,50,90,10,6,7,9,6,8,7,7.167
2.4,tenured,not minority,male,english,60,71.875,32,1,1,2,2,2,2,1.667
3.1,tenured,not minority,male,english,60,70,10,1,1,2,2,2,2,1.667
2.5,tenured,not minority,male,english,60,62.5,16,1,1,2,2,2,2,1.667
3,tenured,not minority,female,english,51,70.14925,67,4,5,7,4,5,6,5.167
4.5,tenure track,not minority,male,english,43,86.36364,22,3,4,4,2,4,4,3.5
4.8,tenure track,not minority,male,english,43,53.57143,28,3,4,4,2,4,4,3.5
4.9,tenure track,not minority,male,english,43,60,30,3,4,4,2,4,4,3.5
4.5,tenure track,not minority,male,english,43,73.33334,15,3,4,4,2,4,4,3.5
4.6,tenure track,not minority,male,english,43,76.92308,13,3,4,4,2,4,4,3.5
4.5,tenure track,not minority,male,english,43,94.44444,18,3,4,4,2,4,4,3.5
